year,cap_round,college_code,college_name,branch_code,branch_name,category,gender_quota,seat_type,stage,closing_merit_no,closing_percentile
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OPEN,General,State,I,33717,88.6037289
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,SC,General,State,I,61041,78.5613347
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,NT3,General,State,I,67451,76.1358545
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,SEBC,General,State,I,83123,69.7604398
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,SC,Ladies,State,I,50493,82.7086811
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,VJ,Ladies,State,I,52977,81.7098306
2024,3,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,OPEN,PWD,State,I,115797,53.7424491
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,SC,General,State,I,11323,96.2437396
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,SEBC,General,State,I,17059,94.3331807
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,OPEN,Ladies,State,I,7985,97.3461799
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,SEBC,Ladies,State,I,21791,92.7108008
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,OPEN,TFWS,State,I,9964,96.7229568
2024,3,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,EWS,General,State,I,96341,63.2687832
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,OBC,General,State,I,8917,97.0497898
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,SEBC,General,State,I,24057,91.9492948
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,OPEN,Ladies,State,I,11969,96.0392321
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,SEBC,Ladies,State,I,24708,91.7849899
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,OPEN,TFWS,State,I,13259,95.6320635
2024,3,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,OPEN,Orphan,State,I,19241,93.6359026
2024,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,OPEN,General,State,I,24135,91.9393058
2024,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,NT2,General,State,I,50339,82.7086811
2024,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,NT1,Ladies,State,I,44865,84.5731157
2024,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,OPEN,TFWS,State,I,12755,95.7978793
2024,3,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,EWS,General,State,I,75966,72.7750912
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,OPEN,General,State,I,18608,93.8492553
2024,3,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,ST,General,State,I,47245,83.7440631
